# format: as|source|type
# date: 20150802
# name: as2type
# exe: type-convert-amogh.pl
# files: /project/as2org/20150801/asclass/exp-sets/20150801.merged.class.txt
# types: Content|Enterprise|Transit/Access
2012|CAIDA_class|Transit/Access
2013|CAIDA_class|Enterprise
2015|CAIDA_class|Transit/Access
2018|CAIDA_class|Transit/Access
2020|CAIDA_class|Enterprise
2021|CAIDA_class|Transit/Access
2024|CAIDA_class|Transit/Access
2025|CAIDA_class|Transit/Access
2027|CAIDA_class|Enterprise
2031|CAIDA_class|Enterprise
2033|CAIDA_class|Transit/Access
2035|CAIDA_class|Enterprise
2036|CAIDA_class|Transit/Access
2037|CAIDA_class|Transit/Access
2042|peerDB_class|Transit/Access
2043|CAIDA_class|Transit/Access
2044|peerDB_class|Transit/Access
2046|CAIDA_class|Transit/Access
2047|CAIDA_class|Enterprise
2048|CAIDA_class|Transit/Access
2050|CAIDA_class|Transit/Access
2055|CAIDA_class|Transit/Access
2060|CAIDA_class|Transit/Access
2065|CAIDA_class|Transit/Access
2072|CAIDA_class|Transit/Access
2088|CAIDA_class|Transit/Access
2089|CAIDA_class|Transit/Access
2094|CAIDA_class|Transit/Access
2107|CAIDA_class|Transit/Access
2108|CAIDA_class|Transit/Access
2109|manual_class|Enterprise
2110|peerDB_class|Transit/Access
2111|CAIDA_class|Transit/Access
2114|CAIDA_class|Enterprise
2115|CAIDA_class|Enterprise
2116|peerDB_class|Transit/Access
2118|CAIDA_class|Transit/Access
2119|peerDB_class|Transit/Access
2121|CAIDA_class|Transit/Access
